site_id,site_name,state,operator,scenario_id,scenario_name,scenario_type,comparison_anchor,calculation_allowed,analysis_unit,operational_status,parameter,central_value,units,source_reported_value,source_reported_units,evidence_class,source,source_year,source_locator,temporal_basis,water_source,geographic_boundary,capacity_type,boundary_match,source_status,low_value,high_value,range_basis,rank_admissibility,notes
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_existing_system_counterfactual,Tier III peak against existing 4.6 MGD system,pre_expansion_counterfactual,yes,yes,development reservation,planned Tier III full buildout,W_peak,8,MGD,8,MGD,P,Project Domino Water and Wastewater Agreement,2025,"Exhibit B, Tier III",one-hour maximum within a 24-hour period at Tier III,unknown,Lebanon Utilities development service area,contracted Tier III peak,conditional,verified_local,,,,scenario_only,"Planning counterfactual, not current operation."
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_existing_system_counterfactual,Tier III peak against existing 4.6 MGD system,pre_expansion_counterfactual,yes,yes,development reservation,planned Tier III full buildout,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to peak scenario,mixed or unknown,hyperscale operator fleet,not applicable,conditional,verified_local,,,,scenario_only,Constant consumptive ratio at peak is an explicit scenario assumption.
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_existing_system_counterfactual,Tier III peak against existing 4.6 MGD system,pre_expansion_counterfactual,yes,yes,development reservation,planned Tier III full buildout,K,4.6,MGD,4.6,MGD,M,Project Domino Water and Wastewater Agreement,2025,existing Lebanon permitted intake and treatment capability,current gross system capacity,unknown,Lebanon Utilities system,existing permitted intake and treatment capability,conditional,verified_local,,,,scenario_only,The 2031 numerator and pre-expansion denominator are intentionally time mismatched to form a counterfactual.
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_planned_wholesale_allocation,Tier III peak against planned 25 MGD wholesale allocation,planned_allocation_scenario,no,yes,development reservation,planned Tier III full buildout,W_peak,8,MGD,8,MGD,P,Project Domino Water and Wastewater Agreement,2025,"Exhibit B, Tier III",one-hour maximum within a 24-hour period at Tier III,unknown,Lebanon development service area,contracted Tier III peak,conditional,verified_local,,,,within_site_scenario_only,The 8 MGD Tier III peak is source reported.
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_planned_wholesale_allocation,Tier III peak against planned 25 MGD wholesale allocation,planned_allocation_scenario,no,yes,development reservation,planned Tier III full buildout,r_peak,0.77,dimensionless,0.77,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Appendix A.5,fleet aggregate transferred to peak scenario,mixed or unknown,hyperscale operator fleet,not applicable,conditional,verified_local,,,,within_site_scenario_only,Constant consumptive ratio at peak is an explicit scenario assumption.
lebanon_in,Lebanon,IN,Meta,lebanon_tier3_planned_wholesale_allocation,Tier III peak against planned 25 MGD wholesale allocation,planned_allocation_scenario,no,yes,development reservation,planned Tier III full buildout,K,25,MGD,25,MGD,P,Project Domino agreement; Citizens Central Indiana Water Supply Project,2025-2026,up to 25 MGD by 2031,planned wholesale allocation,surface water,future Lebanon wholesale supply,"planned allocation, not verified total capacity",conditional,authoritative_current,,,,within_site_scenario_only,No 29.6 MGD total is inferred by adding 4.6 and 25.
council_bluffs_ia,Council Bluffs,IA,Google,council_bluffs_fy2024_combined_nominal_k,FY2024 campus against reconstructed 30 MGD combined potable-system capacity,reconstructed_combined_nominal_capacity,yes,yes,campus,operating FY2024,W_avg,3.853278688524590,MGD,1410.3,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Council Bluffs campus,not applicable,conditional,verified_local,,,,conditional_scenario,FY2024 was a leap year.
council_bluffs_ia,Council Bluffs,IA,Google,council_bluffs_fy2024_combined_nominal_k,FY2024 campus against reconstructed 30 MGD combined potable-system capacity,reconstructed_combined_nominal_capacity,yes,yes,campus,operating FY2024,C_avg,2.760109289617486,MGD,1010.2,Mgal per FY2024,R,Google 2025 Environmental Report,2025,page 110,FY2024 annual actual divided by 366 days,mixed or unknown,Council Bluffs campus,not applicable,conditional,verified_local,,,,conditional_scenario,Same campus and year as withdrawal; used with the reconstructed system-capacity scenario.
council_bluffs_ia,Council Bluffs,IA,Google,council_bluffs_fy2024_combined_nominal_k,FY2024 campus against reconstructed 30 MGD combined potable-system capacity,reconstructed_combined_nominal_capacity,yes,yes,campus,operating FY2024,PF_shared,6.5,dimensionless,4.30 x 1.5,dimensionless,T,"Han et al., Small Bottle, Big Pipe",2026,Section 3.1.2,monthly ratio from West Des Moines plus planning factor,unknown,different Iowa facility and utility,not applicable,conditional,verified_local,,,,conditional_scenario,"Transferred high planning scenario from a different Iowa facility; retained explicitly as T, not a measured Council Bluffs daily PF."
council_bluffs_ia,Council Bluffs,IA,Google,council_bluffs_fy2024_combined_nominal_k,FY2024 campus against reconstructed 30 MGD combined potable-system capacity,reconstructed_combined_nominal_capacity,yes,yes,campus,operating FY2024,K,30,MGD,20 + 10,MGD,R,Council Bluffs Water Works 2022 Annual Report; HDR Council Point Water Treatment Plant project profile,2022,Narrows 20 MGD daily output (HDR); Council Point expanded to 10 MGD in 2022 (CBWW),current post-2022 reconstructed nominal plant-capacity sum,municipal potable system,Council Bluffs Water Works system,reconstructed combined nominal potable-treatment capacity,conditional,authoritative_plus_engineering,,,,conditional_scenario,Reconstructed as 20 MGD Narrows + 10 MGD Council Point; not firm available headroom.
