site_id,site_name,state,analysis_unit,operational_stage,C_avg_MGD,C_avg_ML_d,reporting_days,population_2020,population_boundary,jurisdiction_type,evidence_class,household_equivalents,community_share_pct,admissibility_status,consumption_source_url,population_source_url,caveats
lebanon_in,Lebanon,IN,development reservation,planned Tier III full buildout,,,,16662,"Lebanon city, Indiana",city,C_avg=U; population=M,,,not_admissible_no_defensible_C_avg,,https://www.census.gov/quickfacts/fact/table/lebanoncityindiana/PST040225,"Tier III is a planned 2031 development reservation with a reported peak only; no defensible average consumption is available. Lebanon city is a comparison jurisdiction, not the development service area or Lebanon Utilities service population."
council_bluffs_ia,Council Bluffs,IA,campus,operating FY2024,2.760109289620,10.448150230055,366,62799,"Council Bluffs city, Iowa",city,C_avg=R; population=M,9223.403242,53.599372,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/councilbluffscityiowa/RHI225223,FY2024 campus consumption is compared with the 2020 city population. The city boundary is not the Council Bluffs Water Works service area; unresolved utility capacity does not affect this volume-only context calculation.
mayes_county_ok,Mayes County,OK,campus,operating FY2024,2.276502732240,8.617500268929,366,39046,"Mayes County, Oklahoma",county,C_avg=R; population=M,7607.344666,71.101338,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/mayescountyoklahoma/PST045225,FY2024 campus consumption is compared with the 2020 county population. Mayes County is not the MidAmerica Industrial Park water-service boundary.
the_dalles_or,The Dalles,OR,campus,operating FY2024,0.987431693989,3.737835570321,366,16010,"The Dalles city, Oregon",city,C_avg=R; population=M,3299.681184,75.214553,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/thedallescityoregon/POP060220,FY2024 campus consumption is compared with the 2020 city population. The city population is not a water-service-area population; unresolved current utility capacity does not affect this volume-only context calculation.
douglas_county_ga,Douglas County,GA,campus,operating FY2024,1.002459016390,3.794720173620,366,144237,"Douglas County, Georgia",county,C_avg=R; population=M,3349.897693,8.475710,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/douglascountygeorgia/POP010220,FY2024 consumption combines potable and reclaimed streams and is compared with the 2020 county population. The result does not measure potable-water competition and Douglas County is not a matched utility service area.
wisconsin_mount_pleasant_wi,Wisconsin site,WI,planned facility or campus,planned or ramping,,,,27732,"Mount Pleasant village, Wisconsin",village,C_avg=U; population=M,,,not_admissible_no_defensible_C_avg,https://www.wpr.org/news/microsoft-data-centers-8-million-gallons-water-each-year,https://www.census.gov/quickfacts/fact/table/mountpleasantvillagewisconsin/PST040224,"The disclosed annual water envelope and planned peak do not establish average consumptive use, so both context metrics remain NA. The village population is not the Racine Water Utility service population, and parcel-to-service-boundary confirmation remains pending."
botetourt_county_va,Botetourt County,VA,development reservation,planned or ramping,,,,33596,"Botetourt County, Virginia",county,C_avg=U; population=M,,,not_admissible_no_defensible_C_avg,https://www.westernvawater.org/customers/capital-projects/draft-proposed-data-center-in-botetourt-center-at-greenfield,https://www.census.gov/quickfacts/fact/table/botetourtcountyvirginia/PST040225,The 2 MGD value is a maximum reservation and actual use is described as seasonal and lower; no average consumption is available. The county population is not the Carvins Cove WTP service population.
midlothian_tx,Midlothian,TX,campus,operating FY2024,0.498087431694,1.885466033397,366,35125,"Midlothian city, Texas",city,C_avg=R; population=M,1664.449031,17.293201,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/midlothiancitytexas/LND110220,"FY2024 campus consumption is compared with the 2020 city population. The city population is not a utility service-area population, and direct service by the city system remains a final evidence check."
memphis_tn,Memphis,TN,facility,operating or ramping,,,,633104,"Memphis city, Tennessee",city,C_avg=U; population=M,,,not_admissible_no_defensible_C_avg,https://www.mlgw.com/images/content/files/pdf/MLGWPDF/Sept_Oct2024_Community%20Outreach_web.pdf,https://www.census.gov/quickfacts/fact/table/memphiscitytennessee/POP010220,"The public value is an up-to-1-MGD service maximum, not measured average consumption, so both context metrics remain NA. Memphis city is not the Davis WTP or MLGW service population."
henderson_nv,Henderson,NV,campus,operating FY2024,0.566666666667,2.145066677601,366,317610,"Henderson city, Nevada",city,C_avg=R; population=M,1893.618919,2.175803,admissible_context_only,https://sustainability.google/google-2025-environmental-report/,https://www.census.gov/quickfacts/fact/table/hendersoncitynevada/PST040224,"FY2024 campus consumption is compared with the 2020 city population. Henderson city is not the SNWA regional service area, and this context ratio does not indicate local headroom or basin scarcity."
