site,WCI_base,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Lebanon,1.339298,1.339298,1.660729,2.059304,2.553537,3.166386,3.926319,4.868636,6.037108,7.486014,9.282658,11.510495,14.273014
Council Bluffs,0.599003,0.599003,0.742764,0.921028,1.142074,1.416172,1.756054,2.177507,2.700108,3.348134,4.151686,5.148091,6.383633
Mayes County,0.570464,0.570464,0.707375,0.877145,1.08766,1.348698,1.672386,2.073759,2.571461,3.188611,3.953878,4.902808,6.079482
The Dalles,0.486085,0.486085,0.602746,0.747405,0.926782,1.14921,1.42502,1.767025,2.191111,2.716977,3.369052,4.177624,5.180254
Douglas County,0.313774,0.313774,0.38908,0.482459,0.598249,0.741829,0.919868,1.140636,1.414389,1.753843,2.174765,2.696708,3.343918
Wisconsin Site,0.26565,0.26565,0.329406,0.408463,0.506495,0.628053,0.778786,0.965695,1.197462,1.484852,1.841217,2.283109,2.831055
Botetourt County,0.1375,0.1375,0.1705,0.21142,0.262161,0.325079,0.403098,0.499842,0.619804,0.768557,0.953011,1.181734,1.46535
Memphis,0.01343,0.01343,0.016653,0.02065,0.025606,0.031752,0.039372,0.048822,0.060539,0.075068,0.093085,0.115425,0.143127
Midlothian,0.034666,0.034666,0.042986,0.053303,0.066095,0.081958,0.101628,0.126019,0.156264,0.193767,0.240271,0.297936,0.369441
Henderson,0.001577,0.001577,0.001955,0.002425,0.003007,0.003728,0.004623,0.005733,0.007108,0.008814,0.01093,0.013553,0.016806
