site,WCI_base,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Lebanon,1.339298,1.339298,1.513407,1.710149,1.932469,2.18369,2.467569,2.788353,3.150839,3.560449,4.023307,4.546337,5.137361
Council Bluffs,0.599003,0.599003,0.676874,0.764868,0.8643,0.976659,1.103625,1.247096,1.409219,1.592417,1.799432,2.033358,2.297694
Mayes County,0.570464,0.570464,0.644624,0.728425,0.82312,0.930126,1.051043,1.187678,1.342076,1.516546,1.713697,1.936478,2.18822
The Dalles,0.486085,0.486085,0.549276,0.620682,0.701371,0.792549,0.895581,1.012006,1.143567,1.292231,1.460221,1.650049,1.864556
Douglas County,0.313774,0.313774,0.354565,0.400658,0.452744,0.5116,0.578108,0.653263,0.738187,0.834151,0.942591,1.065127,1.203594
Wisconsin Site,0.26565,0.26565,0.300185,0.339208,0.383306,0.433135,0.489443,0.55307,0.62497,0.706216,0.798024,0.901767,1.018997
Botetourt County,0.1375,0.1375,0.155375,0.175574,0.198398,0.22419,0.253335,0.286268,0.323483,0.365536,0.413056,0.466753,0.527431
Memphis,0.01343,0.01343,0.015176,0.017149,0.019378,0.021898,0.024744,0.027961,0.031596,0.035704,0.040345,0.04559,0.051517
Midlothian,0.034666,0.034666,0.039173,0.044265,0.05002,0.056522,0.06387,0.072173,0.081556,0.092158,0.104139,0.117677,0.132975
Henderson,0.001577,0.001577,0.001782,0.002014,0.002275,0.002571,0.002905,0.003283,0.00371,0.004192,0.004737,0.005353,0.006049
