site,baseline_W_over_K,baseline_r,baseline_PF,baseline_WCI,siting_new_WCI,siting_delta,siting_delta_pct,tech_new_WCI,tech_delta,tech_delta_pct,mgmt_new_WCI
Lebanon,0.276087,0.77,6.3,1.339298,1.004473,0.334824,0.25,0.434837,0.904461,0.675325,0.425174
Council Bluffs,0.128707,0.716,6.5,0.599003,0.449253,0.149751,0.25,0.209149,0.389854,0.650838,0.184309
Mayes County,0.303438,0.752,2.5,0.570464,0.427848,0.142616,0.25,0.189649,0.380815,0.667553,0.456371
The Dalles,0.280546,0.784,2.21,0.486085,0.364564,0.121521,0.25,0.155002,0.331084,0.681122,0.439896
Douglas County,0.151949,0.826,2.5,0.313774,0.235331,0.078444,0.25,0.094968,0.218806,0.697337,0.251019
Wisconsin Site,0.0115,0.77,30.0,0.26565,0.199238,0.066412,0.25,0.08625,0.1794,0.675325,0.01771
Botetourt County,0.071429,0.77,2.5,0.1375,0.103125,0.034375,0.25,0.044643,0.092857,0.675325,0.11
Memphis,0.003876,0.77,4.5,0.01343,0.010073,0.003358,0.25,0.00436,0.00907,0.675325,0.005969
Midlothian,0.016808,0.825,2.5,0.034666,0.026,0.008667,0.25,0.010505,0.024161,0.69697,0.027733
Henderson,0.001095,0.576,2.5,0.001577,0.001183,0.000394,0.25,0.000684,0.000893,0.565972,0.001262
