scenario_id,scenario_type,source_status,boundary_status,metric,parameter,direction,perturbation_pct,input_multiplier,output_multiplier,output_change_pct,log_elasticity,interpretation
analytic_wci_w_or_peak_decrease_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,decrease,10,0.9,0.9,-10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_w_or_peak_increase_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,increase,10,1.1,1.1,10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_w_or_peak_decrease_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,decrease,25,0.75,0.75,-25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_w_or_peak_increase_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,increase,25,1.25,1.25,25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_w_or_peak_decrease_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,decrease,50,0.5,0.5,-50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_w_or_peak_increase_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,W_or_peak,increase,50,1.5,1.5,50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_decrease_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,decrease,10,0.9,0.9,-10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_increase_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,increase,10,1.1,1.1,10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_decrease_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,decrease,25,0.75,0.75,-25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_increase_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,increase,25,1.25,1.25,25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_decrease_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,decrease,50,0.5,0.5,-50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_r_increase_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,r,increase,50,1.5,1.5,50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_decrease_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,decrease,10,0.9,0.9,-10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_increase_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,increase,10,1.1,1.1,10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_decrease_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,decrease,25,0.75,0.75,-25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_increase_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,increase,25,1.25,1.25,25,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_decrease_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,decrease,50,0.5,0.5,-50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_pf_increase_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,PF,increase,50,1.5,1.5,50,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_decrease_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,decrease,10,0.9,1.11111111111,11.1111111111,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_increase_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,increase,10,1.1,0.909090909091,-9.09090909091,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_decrease_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,decrease,25,0.75,1.33333333333,33.3333333333,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_increase_25,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,increase,25,1.25,0.8,-20,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_decrease_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,decrease,50,0.5,2,100,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_wci_k_increase_50,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,WCI,K,increase,50,1.5,0.666666666667,-33.3333333333,-1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
analytic_pdlr_w_or_peak_decrease_10,analytic_algebraic_sensitivity,equation_derived,synthetic_not_site_specific,PDLR,W_or_peak,decrease,10,0.9,0.9,-10,1,Algebraic one-at-a-time check only; not an empirical uncertainty bound or feasible intervention claim.
